Left Elbow Angle,Right Elbow Angle,Left Shoulder Angle,Right Shoulder Angle,Left Knee Angle,Right Knee Angle,Label
183.4108370277807,187.2419977014277,192.14857964620404,184.3516893668276,180.74368070044736,178.91020206993872,tadasana.mp4
182.9383366050376,187.71524123168953,192.1220953640341,184.0537328977937,180.68931037193008,178.93422297127793,tadasana.mp4
182.68103071929352,188.07485526932697,192.12338807985236,183.69582775851555,180.6347938366425,178.9751293719035,tadasana.mp4
182.57465626014098,188.43285627060416,192.21303193684028,183.35990986331856,180.68373732554207,179.03259098244772,tadasana.mp4
182.41342326800577,188.5671459926698,192.31306137629454,183.16422863357568,180.65995045305579,179.05614833892983,tadasana.mp4
182.4627741176989,188.68498599393405,192.44279051831248,183.0408445147244,180.62951758343877,179.04568326313128,tadasana.mp4
182.4818890938024,188.52478719032038,192.45115785563985,183.11064482580844,180.50362522177053,179.0195237064718,tadasana.mp4
182.57564260392257,188.41837977688434,192.52884518012561,183.20959838117642,180.4774298730976,179.06663154456285,tadasana.mp4
182.58316915270103,188.2828655805356,192.59798303829834,183.2595862782591,180.5352626867478,179.05943410507723,tadasana.mp4
182.60018059373851,188.21176977814673,192.68643695406837,183.24932095310146,180.58134921220145,179.02382936731988,tadasana.mp4
182.65186767998023,188.24338781490673,192.78274387695316,183.20834174164742,180.62636092400464,179.07773076972944,tadasana.mp4
182.6949453049937,188.2747840243465,192.83964388917877,183.17649559004542,180.5967499980228,179.08085269312406,tadasana.mp4
182.71581137334255,188.26406791344195,192.87052232138888,183.14528505718113,180.56995170837544,179.07172354728996,tadasana.mp4
182.7354048694719,188.27168658325226,192.90348504313786,183.1059841423936,180.60698287372801,179.05156517147364,tadasana.mp4
182.78929232180823,188.24197550931683,192.95448499222778,183.10220597497198,180.6824521384495,179.06886717252928,tadasana.mp4
182.96958382145465,188.09087184481666,192.74423834062986,183.08060403497188,180.76440703341257,179.09551756003012,tadasana.mp4
183.1621030954253,187.9611098939415,192.63198568225113,183.04009477814196,180.84638924832808,179.09337029353793,tadasana.mp4
183.33895658303302,187.83572283462843,192.63392409969978,183.00313630805576,180.91852968324275,179.1125375206094,tadasana.mp4
183.4812346740963,187.71414137285794,192.6155711951192,182.99079400239373,180.9112815294103,179.09552853448943,tadasana.mp4
183.5987159351215,187.592453871361,192.64980216574676,182.95067577776808,180.9290837157725,179.1011800070586,tadasana.mp4
183.59464882417168,187.54044201034822,192.61849637092138,182.95673027605724,180.90871217541252,179.09397844577097,tadasana.mp4
183.64873119792355,187.5091130052517,192.63829650982692,182.92765340885302,180.8526865208697,179.09928746418635,tadasana.mp4
183.66060714416767,187.5371220838484,192.63445722301304,182.90633286231616,180.81847298061277,179.1001594242444,tadasana.mp4
183.70711448889733,187.526771478556,192.63977420718678,182.9164032811561,180.77283492837026,179.10230418199168,tadasana.mp4
183.70178386677472,187.50925336653705,192.60312198942907,182.92890958992461,180.72349852934047,179.08371365818593,tadasana.mp4
183.67862174922294,187.49029084753062,192.55981874047038,182.9561632449767,180.70558496476772,179.0183350183684,tadasana.mp4
183.63529058991816,187.49380161644558,192.5039208657074,182.9639172901004,180.69248010879426,179.0045670655248,tadasana.mp4
183.64286030078236,187.48557422738136,192.47084248528472,182.9936346836331,180.70149851419387,179.0032732032535,tadasana.mp4
183.664892078423,187.50696641570167,192.46765224629175,183.01028789779525,180.7090685701492,179.01238324539003,tadasana.mp4
183.6760990729589,187.5635771090717,192.49886451060135,183.0413543231323,180.66181057191807,179.01609486202952,tadasana.mp4
183.69180062932438,187.56126401402355,192.52341363087857,183.07761613566868,180.62876441072459,179.0191225659772,tadasana.mp4
183.78584426514348,187.65177695658497,192.61821374510336,183.07477148766358,180.57356386734781,179.01874915392173,tadasana.mp4
183.8841074979105,187.7599049532479,192.7055316785123,183.08058382597432,180.54095294851433,178.98644090896067,tadasana.mp4
183.97691086164082,187.82452437379345,192.77928473361487,183.08983011034962,180.49117302946163,178.97943182786364,tadasana.mp4
184.08265248578107,187.9194483259654,192.86760776639346,183.08406039853523,180.50878220094594,178.9730127907887,tadasana.mp4
